call_id,is_precursor,is_recall,precursor_call_id,hours_from_first_call
701174,N,N,,
2257695,N,N,,
445582,N,N,,
38245,N,N,,
1098856,N,N,,
762365,N,N,,
785383,N,N,,
984029,N,N,,
1963577,N,N,,
74104,N,N,,
1911613,N,N,,
1569418,N,N,,
325443,N,N,,
1723202,N,N,,
1565640,N,N,,
1883116,N,N,,
1728814,N,N,,
1312019,N,N,,
274553,N,N,,
867695,Y,N,,
868122,N,Y,867695,0:08:23
912938,N,N,,
1472082,N,N,,
2243553,N,N,,
1139454,N,N,,
297110,N,N,,
2042675,N,N,,
284670,N,N,,
1816709,N,N,,
443754,N,N,,
2056779,N,N,,
1827391,N,N,,
1762323,N,N,,
969228,N,N,,
1994179,N,N,,
1144868,N,N,,
1793963,N,N,,
356720,N,N,,
698411,N,N,,
1123667,N,N,,
506637,N,N,,
1088115,N,N,,
1849842,N,N,,
2228114,N,N,,
1972948,N,N,,
484149,N,N,,
814031,N,N,,
399572,N,N,,
32949,N,N,,
1789086,N,N,,
2251417,N,N,,
1284685,N,N,,
1260580,N,N,,
1486393,N,N,,
664822,N,N,,
1138901,N,N,,
2207189,N,N,,
1170518,N,N,,
290901,N,N,,
466075,N,N,,
474735,N,N,,
1054735,N,N,,
462809,N,N,,
696317,N,N,,
1112415,N,N,,
372688,N,N,,
959637,N,N,,
2081962,N,N,,
219321,N,N,,
1866782,N,N,,
899,N,N,,
1308849,N,N,,
744250,N,N,,
1809534,N,N,,
202266,N,N,,
1051130,N,N,,
1811701,N,N,,
1039553,N,N,,
1269334,N,N,,
1526622,N,N,,
104591,N,N,,
660216,N,N,,
892354,N,N,,
51182,N,N,,
1891115,N,N,,
1038785,N,N,,
930140,N,N,,
2222061,N,N,,
1451799,N,N,,
1056855,N,N,,
1865758,N,N,,
103255,N,N,,
1177827,N,N,,
1245054,N,N,,
1677945,N,N,,
90466,N,N,,
1784484,N,N,,
2043957,N,N,,
2037259,N,N,,
83956,N,N,,
1321395,N,N,,
429675,N,N,,
217148,N,N,,
88769,N,N,,
2092904,Y,N,,
2093140,N,Y,2092904,0:04:03
2077225,N,N,,
2107252,N,N,,
1125196,N,N,,
651533,N,N,,
1895504,N,N,,
609224,N,N,,
1205655,N,N,,
1072280,N,N,,
1002197,N,N,,
1334524,N,N,,
327838,N,N,,
851478,N,N,,
2270512,N,N,,
1105921,N,N,,
96853,N,N,,
1860626,N,N,,
295971,N,N,,
2233953,N,N,,
1508707,N,N,,
484688,N,N,,
114588,N,N,,
2204286,Y,N,,
2204902,N,Y,2204286,0:09:10
1924653,N,N,,
2200568,N,N,,
1101661,N,N,,
290871,N,N,,
1039798,N,N,,
213626,N,N,,
1580676,N,N,,
104172,N,N,,
2065154,N,N,,
502037,N,N,,
419504,N,N,,
531532,N,N,,
1432211,N,N,,
504110,N,N,,
1644896,N,N,,
70807,N,N,,
1107589,N,N,,
1963021,N,N,,
612676,N,N,,
2050336,N,N,,
54583,N,N,,
1974628,N,N,,
1996026,N,N,,
316277,N,N,,
2180878,N,N,,
1057241,N,N,,
1746769,N,N,,
30818,N,N,,
12920,N,N,,
441484,N,N,,
1016488,N,N,,
1421351,N,N,,
2080890,N,N,,
278455,N,N,,
1980218,N,N,,
1895821,N,N,,
289917,N,N,,
2235515,N,N,,
52957,N,N,,
888316,N,N,,
356598,N,N,,
1789560,N,N,,
234567,N,N,,
241472,N,N,,
72718,N,N,,
468241,N,N,,
608213,N,N,,
531992,N,N,,
2051644,N,N,,
2190510,N,N,,
2198501,N,N,,
1510732,N,N,,
75024,N,N,,
1316306,N,N,,
18582,N,N,,
47278,N,N,,
1661541,N,N,,
1804594,N,N,,
106884,N,N,,
873180,N,N,,
1949324,N,N,,
2249379,N,N,,
49572,N,N,,
1435141,N,N,,
998021,N,N,,
1489542,N,N,,
1658711,N,N,,
